id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
4793,MPTO,large_airport,"Tocumen International Airport",9.07136,-79.383499,135,NA,Panama,PA,"Panamá Province",PA-8,8,Tocumen,1,MPTO,PTY,,https://www.tocumenpanama.aero/,https://en.wikipedia.org/wiki/Tocumen_International_Airport,"La Joya No 1",1050,2024-04-29T19:09:59+00:00
4791,MPMG,medium_airport,"Marcos A. Gelabert International Airport",8.97334,-79.555603,31,NA,Panama,PA,"Panamá Province",PA-8,8,Albrook,1,MPMG,PAC,,,https://en.wikipedia.org/wiki/Albrook_%22Marcos_A._Gelabert%22_International_Airport,"Balboa. Albrook AFS. MPLB",750,2024-05-18T12:23:24+00:00
30768,MPHO,small_airport,"Panamá Pacífico International Airport",8.91479,-79.599602,52,NA,Panama,PA,"Panamá Oeste Province",PA-10,10,"Panamá City",1,MPPA,BLB,,http://www.panamapacifico.com/,https://en.wikipedia.org/wiki/Panam%C3%A1_Pac%C3%ADfico_International_Airport,"HOW, Howard Air Force Base, Panama Pacifico",100,2021-01-12T11:57:17+00:00
4786,MPBO,medium_airport,"Bocas del Toro International Airport",9.34085,-82.250801,10,NA,Panama,PA,"Bocas del Toro Province",PA-1,1,"Isla Colón",1,MPBO,BOC,,,https://en.wikipedia.org/wiki/Bocas_del_Toro_%22Isla_Colón%22_International_Airport,"Jose Ezequiel Hall",750,2021-08-07T11:19:30+00:00
4789,MPDA,medium_airport,"Enrique Malek International Airport",8.391,-82.434998,89,NA,Panama,PA,"Chiriquí Province",PA-4,4,David,1,MPDA,DAV,,,https://en.wikipedia.org/wiki/Enrique_Malek_International_Airport,,750,2021-08-07T11:30:19+00:00
4790,MPEJ,medium_airport,"Enrique Adolfo Jimenez Airport",9.35664,-79.867401,25,NA,Panama,PA,"Colón Province",PA-3,3,Colón,1,MPEJ,ONX,,,https://en.wikipedia.org/wiki/Enrique_Adolfo_Jim%C3%A9nez_Airport,,750,2024-05-18T12:22:03+00:00
35195,PA-OTD,small_airport,"Raul Arias Espinoza Airport",8.62876,-79.034698,43,NA,Panama,PA,"Panamá Province",PA-8,8,"Contadora Island",1,MPRA,OTD,,,https://en.wikipedia.org/wiki/Contadora_Airport,"Contadora Airport",150,2021-08-07T11:02:47+00:00
309162,GHE,small_airport,"Garachiné Airport",8.0644,-78.3673,42,SA,Panama,PA,"Darién Province",PA-5,5,Garachiné,0,,GHE,,,https://en.wikipedia.org/wiki/Garachin%C3%A9_Airport,,50,2024-05-19T00:43:08+00:00
5334,MP26,small_airport,"Punta Cocos Airport",8.22485,-78.904404,66,NA,Panama,PA,"Panamá Province",PA-8,8,"Punta Cocos",0,MPPU,,,,,MP26,50,2023-11-22T18:46:35+00:00
4787,MPCE,medium_airport,"Alonso Valderrama Airport",7.98784,-80.409837,33,NA,Panama,PA,"Herrera Province",PA-6,6,Chitré,1,MPCE,CTD,,,https://en.wikipedia.org/wiki/Chitré_Alonso_Valderrama_Airport,,750,2021-08-07T11:40:31+00:00
4792,MPSA,medium_airport,"Ruben Cantu Airport",8.085599899291992,-80.94529724121094,272,NA,Panama,PA,"Veraguas Province",PA-9,9,Santiago,0,MPSA,SYP,,,https://en.wikipedia.org/wiki/Ruben_Cantu_Airport,Santiago,250,2008-09-27T10:50:07+00:00
35196,PA-ELE,small_airport,"EL Real Airport",8.107235,-77.725545,65,NA,Panama,PA,"Darién Province",PA-5,5,"El Real de Santa María",1,MPRE,ELE,,,https://en.wikipedia.org/wiki/El_Real_Airport,,150,2023-11-22T19:48:20+00:00
31937,MPJE,small_airport,"Jaqué Airport",7.51778,-78.157204,29,NA,Panama,PA,"Darién Province",PA-5,5,Jaqué,0,MPJE,JQE,,,https://en.wikipedia.org/wiki/Jaqué_Airport,,150,2024-04-16T12:51:07+00:00
506052,PA-0038,small_airport,"Pixvae Airstrip",7.841248,-81.567301,56,NA,Panama,PA,"Veraguas Province",PA-9,9,Pixvae,1,MPPX,,,,,"Pixbae, Pifa, Piba, Pejibaye",100,2023-11-22T19:20:23+00:00
31940,MPRH,small_airport,"Scarlett Martinez International Airport",8.375880241394,-80.127899169922,105,NA,Panama,PA,"Coclé Province",PA-2,2,"Río Hato",1,MPSM,RIH,,,https://en.wikipedia.org/wiki/R%C3%ADo_Hato_Airport,"MPRH, Río Hato Army Air Base, Captain Scarlett Martinez",100,2015-12-19T00:00:16+00:00
315194,OGM,small_airport,"Ogobsucum Airport",9.1383,-77.93385,13,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,Ustupu,0,,OGM,,,https://en.wikipedia.org/wiki/Ustupu-Ogobsucum_Airport,"Ogobsucun, Ogubsucum, Ogubsucun, Ustupo",100,2024-04-17T02:18:00+00:00
42187,MPVR,small_airport,"El Porvenir Airport",9.559212,-78.946631,17,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,"El Porvenir",0,MPVR,PVE,,,https://en.wikipedia.org/wiki/El_Porvenir_Airport,,50,2021-04-01T12:35:16+00:00
42190,MPFS,small_airport,"Fort Sherman Airport",9.365090370178223,-79.94979858398438,10,NA,Panama,PA,"Colón Province",PA-3,3,"Fort Sherman",0,MPFS,,,,,,50,2008-09-27T10:50:31+00:00
316550,PA-0024,small_airport,"Coiba Airport",7.5068,-81.6981,255,NA,Panama,PA,"Veraguas Province",PA-9,9,"Isla de Coiba",0,,,,,,,50,2015-12-17T20:06:09+00:00
42201,PA-0017,small_airport,"San Miguel Airport",8.456507,-78.934214,70,NA,Panama,PA,"Panamá Province",PA-8,8,"Isla del Rey",0,MPMI,NMG,,,"https://en.wikipedia.org/wiki/San_Miguel_Airport,_Panama",,50,2022-08-08T22:36:26+00:00
316549,IVI,small_airport,"Viveros Island Airport",8.4693,-79.0016,100,NA,Panama,PA,"Panamá Province",PA-8,8,"Isla Viveros",0,,IVI,,,,,50,2015-12-17T06:27:36+00:00
